,Unnamed: 0,mmsi,sog,cog,longitude,latitude,heading,t
36,149,563018780.0,1.0,3600.0,103.8081867,1.2427,256.0,2022-03-13T03:45:01
37,171,563013860.0,0.0,1346.0,103.8412967,1.257165,0.0,2022-03-13T03:45:40
38,151,563010410.0,30.0,2626.0,103.8414967,1.257125,256.0,2022-03-13T03:45:06
39,165,542249110.0,0.0,3600.0,103.8546067,1.2702,256.0,2022-03-13T03:45:36
40,122,538007721.0,1.0,898.0,103.8699717,1.26444,304.0,2022-03-13T03:44:18
41,126,538006664.0,0.0,1888.0,103.8342133,1.2640217,268.0,2022-03-13T03:44:26
42,150,538003831.0,0.0,1813.0,103.8477033,1.2644567,318.0,2022-03-13T03:45:03
43,157,533132041.0,1.0,1095.0,103.8022217,1.2412617,256.0,2022-03-13T03:45:24
44,162,525500422.0,0.0,3600.0,103.83182,1.2639417,256.0,2022-03-13T03:45:30
45,181,525101960.0,0.0,3060.0,103.8061567,1.250795,244.0,2022-03-13T03:45:52
46,155,525015029.0,1.0,905.0,103.796945,1.2466667,224.0,2022-03-13T03:45:22
47,76,477541100.0,0.0,1050.0,103.7791,1.2605167,30.0,2022-03-13T03:43:01
48,164,477233100.0,0.0,22.0,103.7785083,1.2774383,301.0,2022-03-13T03:45:35
49,137,477220400.0,0.0,850.0,103.839235,1.2611867,313.0,2022-03-13T03:44:39
50,111,413334020.0,0.0,410.0,103.8014,1.2443,262.0,2022-03-13T03:43:53
51,118,413065000.0,0.0,460.0,103.782225,1.265565,31.0,2022-03-13T03:44:09
52,73,374898000.0,0.0,1.0,103.8367,1.2673467,268.0,2022-03-13T03:42:59
53,92,371714000.0,0.0,2460.0,103.7792833,1.2584667,121.0,2022-03-13T03:43:28
54,37,371319000.0,0.0,131.0,103.7812917,1.2757117,121.0,2022-03-13T03:41:55
55,119,370591000.0,0.0,1503.0,103.8279867,1.2623117,0.0,2022-03-13T03:44:10
56,82,357813000.0,0.0,700.0,103.8343667,1.2675333,269.0,2022-03-13T03:43:14
57,158,357365000.0,3.0,1890.0,103.7937383,1.246285,268.0,2022-03-13T03:45:26
58,141,357231000.0,0.0,1020.0,103.7857,1.2715983,210.0,2022-03-13T03:44:48
59,125,356815000.0,1.0,1743.0,103.7840933,1.2685817,30.0,2022-03-13T03:44:23
60,103,354424000.0,1.0,148.0,103.8771383,1.2707367,269.0,2022-03-13T03:43:38
61,144,339669000.0,0.0,594.0,103.8414383,1.24622,256.0,2022-03-13T03:44:54
62,153,333333333.0,0.0,2597.0,103.8387933,1.256645,256.0,2022-03-13T03:45:10
63,90,319382000.0,0.0,2853.0,103.840535,1.245005,83.0,2022-03-13T03:43:26
64,161,312018000.0,0.0,3358.0,103.8546933,1.2700917,256.0,2022-03-13T03:45:29
65,160,311000889.0,0.0,2937.0,103.842045,1.2650683,314.0,2022-03-13T03:45:27
66,19,311000318.0,0.0,2345.0,103.8606067,1.26725,325.0,2022-03-13T03:41:28
67,179,255805781.0,3.0,3323.0,103.8001667,1.2546667,242.0,2022-03-13T03:45:50
68,133,232030743.0,0.0,3005.0,103.7847383,1.2734983,121.0,2022-03-13T03:44:37
69,72,215485000.0,0.0,3210.0,103.7891833,1.26055,31.0,2022-03-13T03:42:57
70,127,212330000.0,0.0,342.0,103.8169017,1.2392883,280.0,2022-03-13T03:44:27
71,124,205787000.0,0.0,2690.0,103.8186,1.2412317,279.0,2022-03-13T03:44:22
0,649,636092212.0,151.0,3025.0,4.0653967,51.9844,305.0,2022-08-31T10:37:48
1,610,636021035.0,1.0,3563.0,4.0356633,51.9740883,291.0,2022-08-31T10:37:17
2,317,636020532.0,0.0,1296.0,4.0742633,51.9584733,162.0,2022-08-31T10:33:02
3,536,636020397.0,0.0,430.0,4.0527567,51.9624333,0.0,2022-08-31T10:36:12
4,526,636020369.0,0.0,1710.0,4.07006,51.968625,240.0,2022-08-31T10:36:06
5,593,636019537.0,1.0,135.0,4.051485,51.9334667,69.0,2022-08-31T10:37:01
6,484,636017586.0,0.0,3230.0,4.0481917,51.9361383,250.0,2022-08-31T10:35:24
7,97,627109418.0,0.0,2785.0,4.0134533,51.9587767,256.0,2022-08-31T10:29:44
8,557,563155500.0,0.0,22.0,4.0452383,51.9468033,258.0,2022-08-31T10:36:29
9,636,563146500.0,1.0,1825.0,4.0027683,51.9545967,216.0,2022-08-31T10:37:39
10,631,563073500.0,1.0,3418.0,4.0522283,51.94799,258.0,2022-08-31T10:37:31
11,475,538004559.0,0.0,287.0,4.05402,51.9375267,70.0,2022-08-31T10:35:21
12,625,477274400.0,2.0,3557.0,4.028955,51.9756767,290.0,2022-08-31T10:37:24
13,550,414225000.0,0.0,577.0,3.9931433,51.9755083,78.0,2022-08-31T10:36:24
14,576,355233000.0,0.0,3040.0,4.0600983,51.9592483,262.0,2022-08-31T10:36:48
15,616,352335000.0,108.0,1030.0,4.017085,51.9934583,100.0,2022-08-31T10:37:18
16,639,310786000.0,0.0,1733.0,3.9890483,51.9726,78.0,2022-08-31T10:37:41
17,523,305576000.0,0.0,3097.0,4.0768683,51.95356,163.0,2022-08-31T10:35:58
18,567,304577000.0,1.0,3540.0,4.0472167,51.9613667,264.0,2022-08-31T10:36:41
19,532,304080000.0,0.0,1253.0,4.0049317,51.95625,216.0,2022-08-31T10:36:09
20,632,269057644.0,0.0,3600.0,4.0383333,51.968,256.0,2022-08-31T10:37:31
21,585,258049000.0,88.0,796.0,4.07819,51.96159,75.0,2022-08-31T10:36:54
22,644,255806453.0,81.0,2927.0,4.0346567,51.9720117,292.0,2022-08-31T10:37:48
23,643,255805954.0,1.0,120.0,4.0685833,51.95008,258.0,2022-08-31T10:37:46
24,589,255805780.0,0.0,2572.0,4.0646733,51.9495967,257.0,2022-08-31T10:36:59
25,647,255805561.0,27.0,2795.0,4.0634167,51.9820217,278.0,2022-08-31T10:37:48
26,582,255805280.0,98.0,3075.0,4.07171,51.9797917,304.0,2022-08-31T10:36:53
27,660,246786000.0,24.0,2897.0,4.0060933,51.9776167,298.0,2022-08-31T10:38:03
28,600,246411000.0,0.0,3597.0,4.0119467,51.9603033,99.0,2022-08-31T10:37:09
29,645,245742000.0,0.0,3040.0,4.0128333,51.96,280.0,2022-08-31T10:37:48
30,670,245385000.0,0.0,2825.0,4.0445017,51.9665283,112.0,2022-08-31T10:38:10
31,533,244890451.0,4.0,136.0,4.0436833,51.9720067,256.0,2022-08-31T10:36:10
32,655,244850581.0,221.0,1084.0,4.058695,51.9840683,108.0,2022-08-31T10:37:59
33,615,244830924.0,0.0,2898.0,4.0105567,51.9599833,353.0,2022-08-31T10:37:18
34,583,244830813.0,34.0,1940.0,3.8336767,51.9415183,166.0,2022-08-31T10:36:53
35,508,244810809.0,0.0,3600.0,3.9922817,51.9757783,256.0,2022-08-31T10:35:50
36,618,244791000.0,75.0,3350.0,4.0010667,51.9633167,352.0,2022-08-31T10:37:19
37,528,244790148.0,0.0,0.0,4.0404483,51.9674833,256.0,2022-08-31T10:36:07
38,607,244780459.0,0.0,148.0,4.0115617,51.9579917,86.0,2022-08-31T10:37:13
39,304,244780409.0,60.0,3427.0,4.0010367,51.9653217,256.0,2022-08-31T10:32:51
40,663,244770631.0,0.0,3600.0,4.044945,51.9303817,256.0,2022-08-31T10:38:06
41,646,244750786.0,0.0,485.0,4.0418733,51.9466867,256.0,2022-08-31T10:37:48
42,581,244750694.0,78.0,1088.0,4.0436833,51.96807,256.0,2022-08-31T10:36:50
43,266,244750679.0,0.0,3600.0,4.0336017,51.96337,256.0,2022-08-31T10:32:17
44,668,244750633.0,0.0,0.0,4.0453117,51.9319283,256.0,2022-08-31T10:38:09
45,494,244750496.0,1.0,745.0,4.0663017,51.940365,256.0,2022-08-31T10:35:39
46,483,244750494.0,0.0,312.0,4.0396783,51.929635,256.0,2022-08-31T10:35:23
